[info] Benchmark                                    (size)   Mode  Cnt          Score         Error  Units
[info] StringOfAsciiCharsReading.jsoniterScala        1000  thrpt    5    2010066.814 ±    9897.757  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala       10000  thrpt    5     191039.529 ±    1161.109  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala      100000  thrpt    5      19569.351 ±     246.932  ops/s
[info] StringOfAsciiCharsReading.jsoniterScala     1000000  thrpt    5       1859.143 ±      38.926  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava            1  thrpt    5   14280580.783 ±  178741.567  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava           10  thrpt    5   13588296.235 ±  232048.550  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava          100  thrpt    5    8391666.119 ±   71884.085  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava         1000  thrpt    5    3260274.849 ±   62481.023  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava        10000  thrpt    5     404488.330 ±    2028.164  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava       100000  thrpt    5      38605.011 ±     178.014  ops/s
[info] StringOfAsciiCharsReading.simdjsonJava      1000000  thrpt    5       3043.206 ±     236.717  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala         1  thrpt    5   27682343.474 ±  407726.737  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala        10  thrpt    5   18283511.762 ± 1096182.905  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala       100  thrpt    5    4058030.855 ±   44728.775  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala      1000  thrpt    5     448540.047 ±    2216.846  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala     10000  thrpt    5      40576.693 ±     102.473  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala    100000  thrpt    5       4441.704 ±       9.853  ops/s
[info] StringOfEscapedCharsReading.jsoniterScala   1000000  thrpt    5        373.017 ±       4.635  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava          1  thrpt    5   10274983.074 ±  174577.551  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava         10  thrpt    5    4934381.705 ± 1616849.293  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava        100  thrpt    5     903643.219 ±    2345.354  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava       1000  thrpt    5      96370.085 ±    1995.299  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava      10000  thrpt    5       9297.590 ±     109.928  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava     100000  thrpt    5        908.068 ±      35.109  ops/s
[info] StringOfEscapedCharsReading.simdjsonJava    1000000  thrpt    5         89.522 ±       1.184  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala        1  thrpt    5   32786706.810 ±  788621.141  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala       10  thrpt    5   19624073.733 ±  723638.922  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala      100  thrpt    5    3936585.889 ±   48338.443  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala     1000  thrpt    5     426123.837 ±    2263.884  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala    10000  thrpt    5      36359.743 ±     210.491  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala   100000  thrpt    5       3835.072 ±      10.330  ops/s
[info] StringOfNonAsciiCharsReading.jsoniterScala  1000000  thrpt    5        377.968 ±       7.973  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava         1  thrpt    5   10715510.964 ±  101357.233  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava        10  thrpt    5    8768707.591 ±   86756.250  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava       100  thrpt    5    2574772.821 ±   47094.263  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava      1000  thrpt    5     346046.650 ±    1343.571  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava     10000  thrpt    5      29272.228 ±      57.714  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava    100000  thrpt    5       2787.651 ±       2.429  ops/s
[info] StringOfNonAsciiCharsReading.simdjsonJava   1000000  thrpt    5        281.176 ±       8.118  ops/s
